Κωδικός,Ονομασία,Ποσό
1420301,Δικαστικά έξοδα επιβαλλόμενα από τα ποινικά δικαστήρια,6.000.000
1420301001,Δικαστικά έξοδα επιβαλλόμενα από τα ποινικά δικαστήρια,6.000.000
1420302,Αντίτιμο δικαστικού ενσήμου σε αγωγές και προσωρινά μέτρα,38.000.000
1420302001,Αντίτιμο δικαστικού ενσήμου σε αγωγές και προσωρινά μέτρα,38.000.000
1420389,Λοιπά έσοδα από παροχή δικαστικών υπηρεσιών,1.000.000
1420389001,Λοιπά έσοδα από παροχή δικαστικών υπηρεσιών,1.000.000
14204,Παροχή υπηρεσιών ελέγχου,137.000.000
1420401,Έσοδα από την παροχή τελωνειακών υπηρεσιών,130.000.000
1420401001,Έσοδα από την παροχή τελωνειακών υπηρεσιών,130.000.000
1420402,Έσοδα από τη διενέργεια γεωτεχνικών ελέγχων,3.000.000
1420402001,Έσοδα από τη διενέργεια γεωτεχνικών ελέγχων,3.000.000
1420403,Έσοδα από τη διενέργεια χημικών ελέγχων,1.000.000
1420403001,Έσοδα από τη διενέργεια χημικών ελέγχων,1.000.000
1420489,Λοιπά έσοδα από υπηρεσίες ελέγχου,3.000.000
1420489001,Λοιπά έσοδα από υπηρεσίες ελέγχου,3.000.000
14206,Παροχή υπηρεσιών από τα προξενεία,70.000.000
1420601,Τέλη και λοιπά έσοδα έμμισθων προξενείων,70.000.000
1420601001,Τέλη και λοιπά έσοδα έμμισθων προξενείων,70.000.000
14209,Λοιπές παρεχόμενες υπηρεσίες,85.000.000
1420901,Έσοδα ΥΠΑ από τέλη χρήσης αερολιμένων,3.000.000
1420901001,Έσοδα ΥΠΑ από τέλη χρήσης αερολιμένων,3.000.000
1420989,Έσοδα από προσφορά λοιπών υπηρεσιών,82.000.000
1420989001,Έσοδα από προσφορά λοιπών υπηρεσιών,82.000.000
143,Μισθώματα,1.418.000.000
14301,Μισθώματα κτιρίων και υποδομών,1.418.000.000
1430101,Έσοδα ΥΠΑ από Μισθώματα,8.000.000
1430101001,Έσοδα ΥΠΑ από Μισθώματα,8.000.000
1430189,Λοιπά μισθώματα κτιρίων και υποδομών,1.410.000.000
1430189001,Λοιπά μισθώματα κτιρίων και υποδομών,1.410.000.000
144,Προμήθειες,445.000.000
14401,Προμήθειες σε εισπράξεις-πληρωμές υπέρ τρίτων,111.000.000
1440101,Προμήθειες είσπραξης ιδίων πόρων για λογαριασμό της Ε.Ε.,90.000.000
1440101001,Προμήθειες είσπραξης ιδίων πόρων για λογαριασμό της Ε.Ε.,90.000.000
1440103,Προμήθειες για βεβαίωση και είσπραξη εσόδων τρίτων,21.000.000
1440103001,Προμήθειες για βεβαίωση και είσπραξη εσόδων τρίτων,21.000.000
14402,Προμήθειες για παροχή εγγυήσεων (πλην τραπεζών),312.000.000
1440201,Προμήθειες λόγω παροχής της εγγύησης του Ελληνικού,300.000.000
1440201001,Προμήθειες λόγω παροχής της εγγύησης του Ελληνικού Δημοσίου,300.000.000
1440202,Προμήθειες λόγω παροχής της Εγγύησης του Ελληνικού,12.000.000
1440202001,Προμήθειες λόγω παροχής της Εγγύησης του Ελληνικού Δημοσίου,12.000.000
14403,Προμήθειες από σχήματα στήριξης τραπεζών,22.000.000
1440305,Προμήθειες εγγυημένης αναβαλλόμενης φορολογικής,22.000.000
1440305001,Προμήθειες εγγυημένης αναβαλλόμενης φορολογικής απαίτησης,22.000.000
145,Διοικητικές αμοιβές,199.000.000
14501,Παράβολα,199.000.000
1450101,Παράβολα για τη χορήγηση και ανανέωση αδειών διαμονής,54.000.000
1450101001,Παράβολα για τη χορήγηση και ανανέωση αδειών διαμονής,54.000.000
1450102,Παράβολα πολιτογράφησης,3.000.000
1450102001,Παράβολα πολιτογράφησης,3.000.000
1450103,Παράβολα αιτήσεων ρύθμισης αυθαιρέτων κατασκευών ή,33.000.000
1450103001,Παράβολα αιτήσεων ρύθμισης αυθαιρέτων κατασκευών ή αλλαγών,33.000.000
1450189,Λοιπά παράβολα,109.000.000
1450189001,Λοιπά παράβολα,109.000.000
149,Λοιπές πωλήσεις,3.000.000
14909,Έσοδα από λοιπές πωλήσεις,3.000.000
1490901,Έσοδα από εκποίηση κατασχεμένων τροχοφόρων,2.000.000
1490901001,Έσοδα από εκποίηση κατασχεμένων τροχοφόρων,2.000.000
1490902,Έσοδα από εκποίηση κατασχεμένων πλωτών μέσων,1.000.000
1490902001,Έσοδα από εκποίηση κατασχεμένων πλωτών μέσων,1.000.000
15,Λοιπά τρέχοντα έσοδα,2.775.000.000
151,Τόκοι,588.000.000
15101,Τόκοι καταθέσεων,484.000.000
1510103,Τόκοι καταθέσεων στην Τράπεζα της Ελλάδος,380.000.000
1510103001,Τόκοι καταθέσεων στην Τράπεζα της Ελλάδος,380.000.000
1510189,Τόκοι καταθέσεων σε λοιπές τράπεζες εξωτερικού,104.000.000
1510189001,Τόκοι καταθέσεων σε λοιπές τράπεζες εξωτερικού,104.000.000
15103,Τόκοι μακροπρόθεσμων τίτλων,69.000.000
1510301,Τόκοι από ομόλογα του Ελληνικού Δημοσίου,69.000.000
1510301001,Τόκοι από ομόλογα του Ελληνικού Δημοσίου,69.000.000
15105,Τόκοι μακροπρόθεσμων δανείων,35.000.000
1510508,Τόκοι μακροπρόθεσμων δανείων από τη διαχείριση των,35.000.000
1510508001,Τόκοι από μακροπρόθεσμα δάνεια που χορηγήθηκαν σε,35.000.000
152,Διανεμόμενο εισόδημα εταιριών,356.000.000
15201,Διανεμόμενο εισόδημα μετοχών εισηγμένων σε χρηματιστήριο,97.000.000
1520101,Διανεμόμενο εισόδημα μετοχών εισηγμένων στο,97.000.000
1520101001,Διανεμόμενο εισόδημα μετοχών εισηγμένων στο Χρηματιστήριο,97.000.000
15202,Διανεμόμενο εισόδημα μετοχών μη εισηγμένων σε,184.000.000
1520201,Διανεμόμενο εισόδημα μετοχών μη εισηγμένων σε,184.000.000
1520201001,Διανεμόμενο εισόδημα μετοχών μη εισηγμένων σε χρηματιστήριο,184.000.000
15203,Διανεμόμενο εισόδημα λοιπών συμμετοχών,75.000.000
1520301,Διανεμόμενο εισόδημα συμμετοχών υπό εκκαθάριση ή,15.000.000
1520301001,Διανεμόμενο εισόδημα συμμετοχών υπό εκκαθάριση ή,15.000.000
1520389,Διανεμόμενο εισόδημα λοιπών συμμετοχών,60.000.000
1520389001,Διανεμόμενο εισόδημα λοιπών συμμετοχών,60.000.000
153,Ενοίκια φυσικών πόρων,75.000.000
15301,Ενοίκια πόρων υπεδάφους,7.000.000
1530101,Ενοίκια από δικαιώματα μεταλλειοκτησίας,7.000.000
1530101001,Ενοίκια από δικαιώματα μεταλλειοκτησίας,7.000.000
15302,Ενοίκια γης,53.000.000
1530289,Λοιπά μισθώματα γης,53.000.000
1530289001,Λοιπά μισθώματα γης,53.000.000
15309,Ενοίκια λοιπών φυσικών πόρων,15.000.000
1530902,Άδειες χρήσης ραδιοσυχνοτήτων επίγειας ψηφιακής,15.000.000
1530902001,Άδειες χρήσης ραδιοσυχνοτήτων επίγειας ψηφιακής ευρυεκπομπής,15.000.000
156,"Πρόστιμα, ποινές και καταλογισμοί",1.102.000.000
15601,Φορολογικά πρόστιμα και προσαυξήσεις,773.000.000
1560101,"Προσαυξήσεις, πρόστιμα και χρηματικές ποινές σε",773.000.000
1560101001,"Προσαυξήσεις, πρόστιμα και χρηματικές ποινές σε φορολογικά",773.000.000
15602,Τελωνειακά Πρόστιμα και προσαυξήσεις,25.000.000
1560201,Πρόστιμα τελωνειακών παραβάσεων και λαθρεμπορίας,17.000.000
1560201001,Πρόστιμα τελωνειακών παραβάσεων και λαθρεμπορίας,17.000.000
1560202,Προσαυξήσεις εκπρόθεσμης καταβολής,6.000.000
1560202001,Προσαυξήσεις εκπρόθεσμης καταβολής,6.000.000
1560204,Ποινές ανακριβούς δήλωσης,2.000.000
1560204001,Ποινές ανακριβούς δήλωσης,2.000.000
15604,Καταλογισμοί,15.000.000
1560401,Καταλογισμοί για προγράμματα του Κοινωνικού Ταμείου,3.000.000
1560401001,Καταλογισμοί για προγράμματα του Κοινωνικού Ταμείου,3.000.000
1560402,Καταλογισμοί για προγράμματα του Ευρωπαϊκού Γεωργικού,1.000.000
1560402001,Καταλογισμοί για προγράμματα του Ευρωπαϊκού Γεωργικού,1.000.000
1560403,Καταλογισμοί για προγράμματα του Ταμείου Περιφερειακής,11.000.000
1560403001,Καταλογισμοί για προγράμματα του Ταμείου Περιφερειακής,11.000.000
15609,Λοιπά πρόστιμα,289.000.000
1560901,Πρόστιμα για αυθαίρετα κτίσματα,5.000.000
1560901001,Πρόστιμα για αυθαίρετα κτίσματα,5.000.000
1560902,Πρόστιμα από ελλιπείς θέσεις στάθμευσης σε κτίρια,5.000.000
1560902001,Πρόστιμα από ελλιπείς θέσεις στάθμευσης σε κτίρια,5.000.000
1560903,Πρόστιμα Πράσινου Ταμείου,4.000.000
1560903001,Πρόστιμα Πράσινου Ταμείου,4.000.000
1560904,Πρόστιμα Γαλάζιου Ταμείου,3.000.000
1560904001,Πρόστιμα Γαλάζιου Ταμείου,3.000.000
1560905,Πρόστιμα και χρηματικές ποινές επιβαλλόμενες από τα,18.000.000
1560905001,Πρόστιμα και χρηματικές ποινές επιβαλλόμενες από τα ποινικά,18.000.000
1560906,Πρόστιμα για παραβάσεις εργατικής νομοθεσίας,9.000.000
1560906001,Πρόστιμα για παραβάσεις εργατικής νομοθεσίας,9.000.000
1560908,Πρόστιμα για λιμενικές παραβάσεις,6.000.000
1560908001,Πρόστιμα για λιμενικές παραβάσεις,6.000.000
1560909,Πρόστιμα  για την προστασία των καταναλωτών,2.000.000
1560909001,Πρόστιμα  για την προστασία των καταναλωτών,2.000.000
1560911,Προσαυξήσεις εκπρόθεσμης καταβολής μη φορολογικών,41.000.000
1560911001,Προσαυξήσεις εκπρόθεσμης καταβολής μη φορολογικών εσόδων,41.000.000
1560916,Έσοδα από την επιβολή δημοσιονομικών διορθώσεων,2.000.000
1560916001,Έσοδα από την επιβολή δημοσιονομικών διορθώσεων,2.000.000
1560921,Καταπτώσεις εγγυητικών επιστολών,2.000.000
1560921001,Καταπτώσεις εγγυητικών επιστολών,2.000.000
1560988,Λοιπά μη ταξινομημένα μη φορολογικά έσοδα,78.000.000
1560988001,Λοιπά μη ταξινομημένα μη φορολογικά έσοδα,78.000.000
1560989,Λοιπά πρόστιμα και χρηματικές ποινές,114.000.000
1560989001,Λοιπά πρόστιμα και χρηματικές ποινές,114.000.000
159,Επιστροφές δαπανών,654.000.000
15901,Επιστροφές αποδοχών,38.000.000
1590189,Λοιπές επιστροφές αποδοχών,38.000.000
1590189001,Λοιπές επιστροφές αποδοχών,38.000.000
15903,Επιστροφές μεταβιβάσεων,439.000.000
1590301,Επιστροφές ποσών από ΝΠΔΔ για εκτέλεση έργων,240.000.000
1590301001,Επιστροφές ποσών από ΝΠΔΔ για εκτέλεση έργων επενδύσεων,240.000.000
1590302,Επιστροφές  ποσών από φυσικά πρόσωπα για εκτέλεση,4.000.000
1590302001,Επιστροφές  ποσών από φυσικά πρόσωπα για εκτέλεση έργων,4.000.000
1590304,Επιστροφές επιχορηγήσεων για διαχείριση Απορριμμάτων,11.000.000
1590304001,Επιστροφές επιχορηγήσεων για διαχείριση Απορριμμάτων,11.000.000
1590305,Επιστροφές μεταβιβάσεων με τη μορφή της επιστρεπτέας,174.000.000
1590305001,Επιστροφές μεταβιβάσεων με τη μορφή της επιστρεπτέας,62.000.000
1590305002,Επιστροφές μεταβιβάσεων με τη μορφή της επιστρεπτέας,112.000.000
1590309,Λοιπές επιστροφές από την εκτέλεση έργων επενδύσεων,10.000.000
1590309001,Λοιπές επιστροφές από την εκτέλεση έργων επενδύσεων,10.000.000
15907,Επιστροφές λοιπών δαπανών,177.000.000
1590788,Επιστροφές χρημάτων για τακτοποίηση Χ.Ε.Π.,20.000.000
1590788001,Επιστροφές χρημάτων για τακτοποίηση Χ.Ε.Π. τακτικού,20.000.000
1590789,Λοιπές επιστροφές ποσών,157.000.000
1590789001,Λοιπές επιστροφές ποσών,157.000.000
31,Πάγια περιουσιακά στοιχεία,37.000.000
311,Κτίρια και συναφείς υποδομές,37.000.000
31103,Λοιπά κτίρια,37.000.000
3110389,Λοιπά Κτίρια,37.000.000
3110389001,Εισπράξεις από πωλήσεις λοιπών κτιρίων,37.000.000
43,Χρεωστικοί τίτλοι,11.000.000
432,Μακροπρόθεσμοι χρεωστικοί τίτλοι,11.000.000
43202,Μακροπρόθεσμοι τίτλοι έκδοσης Δημόσιων Επιχειρήσεων,11.000.000
4320201,Ομόλογα Δημοσίων Επιχειρήσεων,11.000.000
4320201001,Εισπράξεις ομολόγων Δημοσίων Επιχειρήσεων,11.000.000
44,Δάνεια,20.000.000
442,Μακροπρόθεσμα Δάνεια,20.000.000
44209,Λοιπά μακροπρόθεσμα δάνεια,20.000.000
4420902,Μακροπρόθεσμα Δάνεια από τη διαχείριση των πόρων του,20.000.000
4420902001,Εισπράξεις χορηγούμενων μακροπρόθεσμων δανείων σε,20.000.000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,467.000.000
451,Εισηγμένες μετοχές,239.000.000
45109,Λοιπές εισηγμένες μετοχές,239.000.000
4510901,Μετοχές λοιπών επιχειρήσεων εισηγμένων στο,239.000.000
4510901001,Εισπράξεις από πωλήσεις μετοχών λοιπών επιχειρήσεων,239.000.000
452,Μη εισηγμένες μετοχές,228.000.000
45209,Λοιπές μη εισηγμένες μετοχές,228.000.000
4520901,Λοιπές μη εισηγμένες μετοχές εσωτερικού,228.000.000
4520901001,Εισπράξεις από πωλήσεις μετοχών λοιπών επιχειρήσεων,228.000.000
52,Υποχρεώσεις από νόμισμα και καταθέσεις,66.000.000
521,Υποχρεώσεις από νόμισμα σε κυκλοφορία,66.000.000
52101,Υποχρεώσεις από κέρματα σε κυκλοφορία,66.000.000
5210101,Μεταλλικά κέρματα σε κυκλοφορία,66.000.000
5210101001,Κυκλοφορία μεταλλικών κερμάτων,66.000.000
53,Χρεωστικοί τίτλοι (Υποχρεώσεις),25.973.000.000
531,Βραχυπρόθεσμοι χρεωστικοί τίτλοι,17.000.000.000
53101,Βραχυπρόθεσμοι τίτλοι εσωτερικού,17.000.000.000
5310101,Έντοκα γραμμάτια του Ελληνικού Δημοσίου,17.000.000.000
5310101001,Εισπράξεις εντόκων γραμματίων του Ελληνικού Δημοσίου,17.000.000.000
532,Μακροπρόθεσμοι χρεωστικοί τίτλοι,8.973.000.000
53201,Μακροπρόθεσμοι τίτλοι εσωτερικού,8.973.000.000
5320101,Ομόλογα Ελληνικού Δημοσίου στην αγορά εσωτερικού,8.973.000.000
5320101001,Εισπράξεις ομολόγων Ελληνικού Δημοσίου στην αγορά εσωτερικού,8.973.000.000
54,Δάνεια,1.202.027.000.000
541,Βραχυπρόθεσμα δάνεια,1.200.000.000.000
54101,Βραχυπρόθεσμα δάνεια εσωτερικού,1.200.000.000.000
5410102,Τίτλοι με σύμφωνο επαναγοράς,1.200.000.000.000
5410102001,Εισπράξεις από την πώληση τίτλων με σύμφωνο επαναγοράς,1.200.000.000.000
542,Μακροπρόθεσμα δάνεια,2.027.000.000
54202,Μακροπρόθεσμα δάνεια εξωτερικού,2.027.000.000
5420205,Δάνεια Ταμείου Ανάκαμψης και Ανθεκτικότητας,2.027.000.000
5420205001,Δάνεια από το Ταμείο Ανάκαμψης και Ανθεκτικότητας,2.027.000.000
57,Χρηματοοικονομικά παράγωγα,800.000.000
571,Χρηματοοικονομικά παράγωγα,800.000.000
57101,Συμβάσεις ανταλλαγής,800.000.000
5710102,Τόκοι συμφωνιών ανταλλαγής,800.000.000
5710102001,Εισπράξεις τόκων συμφωνιών ανταλλαγής,800.000.000
13,Μεταβιβάσεις,35.000.000
134,Επιχορηγήσεις επενδύσεων εσωτερικού,35.000.000
13409,Λοιπές Επιχορηγήσεις επενδύσεων,35.000.000
1340901,Έσοδα από συνεισφορές για εκτέλεση έργων επενδύσεων,35.000.000
1340901001,Έσοδα από συνεισφορές για εκτέλεση έργων επενδύσεων,35.000.000
15,Λοιπά τρέχοντα έσοδα,265.000.000
156,"Πρόστιμα, ποινές και καταλογισμοί",1.000.000
15609,Λοιπά πρόστιμα,1.000.000
1560921,Καταπτώσεις εγγυητικών επιστολών,1.000.000
1560921001,Καταπτώσεις εγγυητικών επιστολών,1.000.000
159,Επιστροφές δαπανών,264.000.000
15903,Επιστροφές μεταβιβάσεων,258.000.000
1590301,Επιστροφές ποσών από ΝΠΔΔ για εκτέλεση έργων,240.000.000
1590301001,Επιστροφές ποσών από ΝΠΔΔ για εκτέλεση έργων επενδύσεων,240.000.000
1590302,Επιστροφές  ποσών από φυσικά πρόσωπα για εκτέλεση,3.000.000
1590302001,Επιστροφές  ποσών από φυσικά πρόσωπα για εκτέλεση έργων,3.000.000
1590304,Επιστροφές επιχορηγήσεων για διαχείριση Απορριμμάτων,11.000.000
1590304001,Επιστροφές επιχορηγήσεων για διαχείριση Απορριμμάτων,11.000.000
1590309,Λοιπές επιστροφές από την εκτέλεση έργων επενδύσεων,4.000.000
1590309001,Λοιπές επιστροφές από την εκτέλεση έργων επενδύσεων,4.000.000
15907,Επιστροφές λοιπών δαπανών,6.000.000
1590789,Λοιπές επιστροφές ποσών,6.000.000
1590789001,Λοιπές επιστροφές ποσών,6.000.000
13,Μεταβιβάσεις,4.190.000.000
135,Επιχορηγήσεις επενδύσεων από την Ε.Ε.,4.190.000.000
13501,Επιχορηγήσεις επενδύσεων από κοινοτικά ταμεία,4.190.000.000
1350101,Απολήψεις από το Ταμείο Περιφερειακής Ανάπτυξης,1.308.000.000
1350101001,Απολήψεις από το Ταμείο Περιφερειακής Ανάπτυξης,1.308.000.000
1350103,Απολήψεις από το Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής,1.133.000.000
1350103001,Απολήψεις από το Ευρωπαϊκό Γεωργικό Ταμείο Αγροτικής,1.133.000.000
1350104,Απολήψεις από το Ταμείο Συνοχής,702.000.000
1350104001,Απολήψεις από το Ταμείο Συνοχής,702.000.000
1350106,Απολήψεις από το Ευρωπαϊκό Κοινωνικό Ταμείο,602.000.000
1350106001,Απολήψεις από το Ευρωπαϊκό Κοινωνικό Ταμείο,602.000.000
1350107,Απολήψεις από το Ευρωπαϊκό Ταμείο Θαλάσσιας Αλιείας,58.000.000
1350107001,Απολήψεις από το Ευρωπαϊκό Ταμείο Θαλάσσιας Αλιείας (ΕΤΘΑ),58.000.000
1350108,"Απολήψεις από τα Ταμεία Ασύλου, Μετανάστευσης και",167.000.000
1350108001,"Απολήψεις από τα Ταμεία Ασύλου, Μετανάστευσης και Ένταξης και",167.000.000
1350189,Λοιπές Απολήψεις για τη μελέτη ή εκτέλεση διαφόρων,220.000.000
1350189001,Λοιπές Απολήψεις για τη μελέτη ή εκτέλεση διαφόρων,220.000.000
21,Παροχές σε εργαζομένους,14.889.199.000
22,Κοινωνικές παροχές,425.136.000
23,Μεταβιβάσεις,34.741.365.000
24,Αγορές αγαθών και υπηρεσιών,2.039.542.000
25,Επιδοτήσεις,80.630.000
26,Τόκοι,7.701.101.000
27,Λοιπές δαπάνες,101.553.000
29,Πιστώσεις υπό κατανομή,17.283.053.000
31,Πάγια περιουσιακά στοιχεία,2.609.600.000
33,Τιμαλφή,85.000
44,Δάνεια,3.741.000.000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,1.755.112.000
53,Χρεωστικοί τίτλοι (υποχρεώσεις),19.375.000.000
54,Δάνεια,1.203.165.130.000
21,Παροχές σε εργαζομένους,14.889.199.000
22,Κοινωνικές παροχές,425.136.000
23,Μεταβιβάσεις,34.741.365.000
24,Αγορές αγαθών και υπηρεσιών,2.039.542.000
25,Επιδοτήσεις,80.630.000
26,Τόκοι,7.701.101.000
27,Λοιπές δαπάνες,101.553.000
29,Πιστώσεις υπό κατανομή,3.183.053.000
31,Πάγια περιουσιακά στοιχεία,2.609.600.000
33,Τιμαλφή,85.000
44,Δάνεια,3.741.000.000
45,Συμμετοχικοί τίτλοι και μερίδια επενδυτικών κεφαλαίων,1.755.112.000
53,Χρεωστικοί τίτλοι (υποχρεώσεις),19.375.000.000
54,Δάνεια,1.203.165.130.000
29,Πιστώσεις υπό κατανομή,14.100.000.000
1001,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,4.638.000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,171.950.000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,41.689.000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,3.830.276.000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,420.237.000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,6.130.000.000
1015,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ,7.177.424.000
1017,ΥΠΟΥΡΓΕΙΟ ΔΙΚΑΙΟΣΥΝΗΣ,650.803.000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ",6.606.000.000
1022,ΥΠΟΥΡΓΕΙΟ ΠΟΛΙΤΙΣΜΟΥ,575.419.000
1024,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ,1.246.518.464.000
1029,ΥΠΟΥΡΓΕΙΟ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ,1.281.403.000
1031,ΥΠΟΥΡΓΕΙΟ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ,2.341.227.000
1032,ΥΠΟΥΡΓΕΙΟ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ,18.678.084.000
1034,ΥΠΟΥΡΓΕΙΟ ΚΟΙΝΩΝΙΚΗΣ ΣΥΝΟΧΗΣ ΚΑΙ,3.989.553.000
1036,ΥΠΟΥΡΓΕΙΟ ΑΝΑΠΤΥΞΗΣ,818.045.000
1039,ΥΠΟΥΡΓΕΙΟ ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ,2.694.810.000
1041,ΥΠΟΥΡΓΕΙΟ ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ,651.864.000
1045,ΥΠΟΥΡΓΕΙΟ ΤΟΥΡΙΣΜΟΥ,189.293.000
1053,ΥΠΟΥΡΓΕΙΟ ΨΗΦΙΑΚΗΣ ΔΙΑΚΥΒΕΡΝΗΣΗΣ,1.073.928.000
1055,ΥΠΟΥΡΓΕΙΟ ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΑΣΥΛΟΥ,475.871.000
1057,ΥΠΟΥΡΓΕΙΟ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ,2.285.820.000
1060,ΥΠΟΥΡΓΕΙΟ ΚΛΙΜΑΤΙΚΗΣ ΚΡΙΣΗΣ ΚΑΙ ΠΟΛΙΤΙΚΗΣ,1.221.116.000
1901,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΑΤΤΙΚΗΣ,13.091.000
1902,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΘΕΣΣΑΛΙΑΣ - ΣΤΕΡΕΑΣ,10.579.000
1903,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΗΠΕΙΡΟΥ - ΔΥΤΙΚΗΣ,9.943.000
1904,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΠΕΛΟΠΟΝΝΗΣΟΥ -,14.918.000
1905,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΑΙΓΑΙΟΥ,6.188.000
1906,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΚΡΗΤΗΣ,6.497.000
1907,ΑΠΟΚΕΝΤΡΩΜΕΝΗ ΔΙΟΙΚΗΣΗ ΜΑΚΕΔΟΝΙΑΣ - ΘΡΑΚΗΣ,18.376.000
1001,ΠΡΟΕΔΡΙΑ ΤΗΣ ΔΗΜΟΚΡΑΤΙΑΣ,4.638.000
1003,ΒΟΥΛΗ ΤΩΝ ΕΛΛΗΝΩΝ,169.950.000
1004,ΠΡΟΕΔΡΙΑ ΤΗΣ ΚΥΒΕΡΝΗΣΗΣ,37.689.000
1007,ΥΠΟΥΡΓΕΙΟ ΕΣΩΤΕΡΙΚΩΝ,3.449.276.000
1009,ΥΠΟΥΡΓΕΙΟ ΕΞΩΤΕΡΙΚΩΝ,390.237.000
1011,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΑΜΥΝΑΣ,6.061.000.000
1015,ΥΠΟΥΡΓΕΙΟ ΥΓΕΙΑΣ,6.608.424.000
1017,ΥΠΟΥΡΓΕΙΟ ΔΙΚΑΙΟΣΥΝΗΣ,577.803.000
1020,"ΥΠΟΥΡΓΕΙΟ ΠΑΙΔΕΙΑΣ, ΘΡΗΣΚΕΥΜΑΤΩΝ ΚΑΙ",5.594.000.000
1022,ΥΠΟΥΡΓΕΙΟ ΠΟΛΙΤΙΣΜΟΥ,257.419.000
1024,ΥΠΟΥΡΓΕΙΟ ΕΘΝΙΚΗΣ ΟΙΚΟΝΟΜΙΑΣ ΚΑΙ,1.243.381.464.000
1029,ΥΠΟΥΡΓΕΙΟ ΑΓΡΟΤΙΚΗΣ ΑΝΑΠΤΥΞΗΣ ΚΑΙ ΤΡΟΦΙΜΩΝ,222.403.000
1031,ΥΠΟΥΡΓΕΙΟ ΠΕΡΙΒΑΛΛΟΝΤΟΣ ΚΑΙ ΕΝΕΡΓΕΙΑΣ,319.227.000
1032,ΥΠΟΥΡΓΕΙΟ ΕΡΓΑΣΙΑΣ ΚΑΙ ΚΟΙΝΩΝΙΚΗΣ ΑΣΦΑΛΙΣΗΣ,18.215.084.000
1034,ΥΠΟΥΡΓΕΙΟ ΚΟΙΝΩΝΙΚΗΣ ΣΥΝΟΧΗΣ ΚΑΙ,3.786.553.000
1036,ΥΠΟΥΡΓΕΙΟ ΑΝΑΠΤΥΞΗΣ,123.045.000
1039,ΥΠΟΥΡΓΕΙΟ ΥΠΟΔΟΜΩΝ ΚΑΙ ΜΕΤΑΦΟΡΩΝ,881.810.000
1041,ΥΠΟΥΡΓΕΙΟ ΝΑΥΤΙΛΙΑΣ ΚΑΙ ΝΗΣΙΩΤΙΚΗΣ ΠΟΛΙΤΙΚΗΣ,336.864.000
1045,ΥΠΟΥΡΓΕΙΟ ΤΟΥΡΙΣΜΟΥ,39.293.000
1053,ΥΠΟΥΡΓΕΙΟ ΨΗΦΙΑΚΗΣ ΔΙΑΚΥΒΕΡΝΗΣΗΣ,151.928.000
1055,ΥΠΟΥΡΓΕΙΟ ΜΕΤΑΝΑΣΤΕΥΣΗΣ ΚΑΙ ΑΣΥΛΟΥ,141.871.000
1057,ΥΠΟΥΡΓΕΙΟ ΠΡΟΣΤΑΣΙΑΣ ΤΟΥ ΠΟΛΙΤΗ,2.217.820.000
